,precision,recall,f1-score,support
Bacterialblight,0.8762214983713354,0.9340277777777778,0.9042016806722689,288.0
Blast,0.8873720136518771,0.8754208754208754,0.8813559322033898,297.0
Brownspot,0.9253731343283582,0.9365558912386707,0.9309309309309309,331.0
Tungro,0.9960159362549801,0.9259259259259259,0.9596928982725528,270.0
accuracy,0.918212478920742,0.918212478920742,0.918212478920742,0.918212478920742
macro avg,0.9212456456516377,0.9179826175908125,0.9190453605197856,1186.0
weighted avg,0.920003448429244,0.918212478920742,0.9185733697889947,1186.0
